"id";"name";"strasse";"plz";"ort"
"198";"Herzog-Ernst-Gymnasium";NULL;"29525";"Uelzen"
"199";"Ludwig-Meyn-Gymnasium";"Seminarstraße 10";"25436";"Uetersen"
"200";"Geschwister-Scholl Gymnasium";NULL;"42251";"Velbert"
"201";"Gymnasium Walsrode (Niedersachsen)";"Sunderstraße 19";"29664";"Walsrode"
"202";"Gebrüder-Humboldt-Schule";NULL;"22880";"Wedel"
"203";"Johann-Rist-Gymnasium";"Am Redder 8";"22880";"Wedel"
"204";"Physikalisch-Technische Lehranstalt";NULL;"22880";"Wedel"
"205";"Gymnasium Wentorf";NULL;"21465";"Wentorf"
"206";"Cäcilienschule Wilhelmshaven";NULL;"26382";"Wilhelmshaven"
"207";"Lise-Meitner-Gymnasium Willich";NULL;"47877";"Willich"
"208";"Geschwister Scholl Gymnasium Wismar";NULL;"23970";"Wismar"
"209";"Gerhart-Hauptmann-Gymnasium";NULL;"23966";"Wismar"
"210";"Hochschule Wismar";NULL;"23966";"Wismar"
"211";"Alexander-von-Humboldt-Schule Wittmund";NULL;"26409";"Wittmund"
