id;bezeichnung;;;
1470;DIU Dresden International University (Priv. H);;;
1480;TH Aachen ;;;
1490;Universität Witten Herdecke (Priv. H);;;
1500;Hochschule für Finanzwirtschaft & Management Bonn (Priv. FH);;;
1510;CVJM-Hochschule Kassel (Priv. FH);;;
1520;International Psychoanalytic University Berlin (Priv.);;;
1530;TU Darmstadt;;;
1541;EBS U für Wirtschaft und Recht in Oestrich-Winkel (Priv.);;;
1542;EBS U für Wirtschaft und Recht in Wiesbaden (Priv.);;;
1550;Evangelische Hochschule Tabor in Marburg;;;
1561;HS für Medien, Kommunikation und Wirtschaft Berlin in Berlin (Priv. FH);;;
1562;HS für Medien, Kommunikation und Wirtschaft Berlin in Köln (Priv. FH);;;
1563;HS für Medien, Kommunikation und Wirtschaft Berlin in Frankfurt (Priv. FH) ;;;
1570;FH für Sport und Management, Potsdam (Priv. FH);;;
1580;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;;;
1590;U Stuttgart;;;
1600;Quadriga Hochschule Berlin (Priv. FH);;;
1610;DEKRA Hochschule für Medien Berlin (Priv. FH);;;
1631;TU München in München ;;;
1632;TU München in Weihenstephan ;;;
1633;TU München in Garching;;;
1634;TU München in Straubing;;;
1635;TU München in Heilbronn;;;
1660;EBC Euro Business College Hamburg Campus Düsseldorf (Priv. FH) ;;;
1680;CBS International Business School in Köln (Priv. FH);;;
1681;CBS International Business School in Mainz (Priv. FH);;;
1690;TU Berlin;;;
1700;ESCP Europe Wirtschaftshochschule Berlin (Priv. H);;;
1710;H für Politik München;;;
1730;Medizinische H Hannover;;;
1740;Tierärztliche H Hannover;;;
1751;(SRH Hochschule der populären Künste Berlin (Priv. FH)) eingegliedert in 7971;;;
1760;BSP Business and Law School - Hochschule für Management und Recht Berlin in Berlin (Priv. FH);;;
1761;BSP Business and Law School - Hochschule für Management und Recht Berlin in Hamburg (Priv. FH);;;
1770;Hochschule für Gesundheit (FH) Bochum;;;
1780;Hochschule Weserbergland (HSW), Hameln (Priv. FH);;;
1790;Internationale Hochschule Bad Honnef-Bonn in Bremen (Priv. FH) ;;;
1800;U Hohenheim;;;
1810;U Mannheim;;;
1820;U Ulm;;;
1830;Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik;;;
1840;Psychologische Hochschule Berlin (Priv. U);;;
1850;Fachhochschule Dresden (Priv. FH);;;
1870;Brand University Hamburg (Priv. FH);;;
1880;MSH Medical School Hamburg (Priv. FH);;;
1890;Bard College Berlin, A Liberal Arts University (Priv. H);;;
1900;(German open Business School HS für Wirtschaft und Verwaltung, Berlin (Priv. FH)) aufgelöst;;;
1910;Leibniz - Fachhochschule Hannover (Priv. FH);;;
1921;VICTORIA - Internationale Hochschule Berlin in Berlin (Priv. FH);;;
1922;VICTORIA - Internationale Hochschule Berlin in Baden-Baden (Priv. FH);;;
1940;Internationale Hochschule Liebenzell (Evang. FH);;;
1950;Fliedner Fachhochschule Düsseldorf (Priv. FH);;;
1960;Kühne Logistics University - The KLU, Hamburg (Priv. H);;;
1970;Hochschule der Wirtschaft für Management (HdWM) Mannheim (Priv. FH);;;
1990;Medical School Berlin H für Gesundheit und Medizin (Priv. FH);;;
2000;Theol. Fakultät (rk) Fulda;;;
2020;Phil.-Theol. H (rk) Frankfurt a.M.;;;
2030;Theol. Fakultät (rk) Paderborn;;;
2040;Theol. Fakultät Trier;;;
2050;Theol. H Vallendar;;;
2060;Kölner Hochschule für Katholische Theologie (KHKT) - St. Augustin (Kirchl.-Theol. H);;;
2080;Phil.-Theol. H (rk) Münster;;;
2100;SRH Wilhelm Löhe Hochschule Fürth (Priv. FH);;;
2150;Hochschule Fresenius Heidelberg (Priv. FH);;;
2170;H für Philosophie (rk) München;;;
2200;Hochschule Geisenheim University (FH);;;
2211;HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften in München (Priv. FH);;;
2220;Theologische H Ewersbach in Dietzhölztal;;;
2240;Hochschule für angewandte Pädagogik, Berlin (Priv. FH);;;
2271;Kirchliche Hochschule Wuppertal/Bethel in Bethel (ev);;;
2272;Kirchliche Hochschule Wuppertal/Bethel in Wuppertal (ev);;;
2280;IST-Hochschule für Management Düsseldorf (Priv. FH);;;
2290;Berlin International University of Applied Sciences (Priv. FH);;;
2300;H für jüdische Studien Heidelberg;;;
2320;Luth.-Theol. H (ev) Oberursel;;;
2350;Theologische H Friedensau;;;
2360;FH für Interkulturelle Theologie Hermannsburg (Priv.);;;
2381;VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Stuttgart (Priv. FH);;;
2382;VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Freiburg (Priv. FH);;;
2383;VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Karlsruhe (Priv. FH);;;
2384;VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Ulm (Priv. FH);;;
2410;NBS Northern Business School Hamburg (Priv. FH);;;
2420;Medizinische Hochschule Brandenburg in Neuruppin (Priv. U);;;
2430;Alanus Hochschule (Priv. H), Alfter;;;
2450;EU European University of Applied Sciences in Mannheim (Priv. FH);;;
2490;Palucca Hochschule für Tanz Dresden;;;
2500;H für Musik und Theater Hamburg;;;
2510;Kunsthochschule Berlin;;;
2520;H für Musik Berlin;;;
2530;Hochschule für Musik, Theater und Medien, Hannover;;;
2540;H für Schauspielkunst Berlin;;;
2550;Filmuniversität Babelsberg;;;
2561;H für Musik Detmold in Detmold;;;
2571;Folkwang-H Essen in Essen;;;
2572;Folkwang-H Essen in Duisburg;;;
2573;Folkwang-H Essen in Bochum;;;
2574;Folkwang H Essen in Dortmund;;;
2581;H für Musik und Tanz Köln in Köln;;;
2582;H für Musik und Tanz Köln in Aachen;;;
2583;H für Musik und Tanz Köln in Wuppertal;;;
2590;Musikhochschule Lübeck;;;
2600;Burg Giebichenstein Kunsthochschule Halle;;;
2610;H für Künste Bremen;;;
2620;H für Musik und Darstellende Kunst Frankfurt a.M.;;;
2630;H für Bildende Künste Dresden;;;
2640;H für Graphik und Buchkunst Leipzig ;;;
2650;Staatl. H für Musik Freiburg i.Br.;;;
2660;Staatl. H für Musik und Darstellende Kunst Mannheim ;;;
2670;Staatl. H für Musik Karlsruhe;;;
2690;Staatl. H für Musik und Darstellende Kunst Stuttgart;;;
2700;Staatl. H für Musik Trossingen;;;
2710;H für Musik Würzburg;;;
2720;H für Musik und Theater München;;;
2730;H für Fernsehen und Film München;;;
2740;H für Musik und Theater Leipzig;;;
2760;Hochschule für Musik Saarbrücken;;;
2770;H der Bildenden Künste Saarbrücken;;;
2790;Universität der Künste Berlin;;;
2800;H für Musik Dresden;;;
2810;H für Bildende Künste Hamburg;;;
2830;H für Bildende Künste Braunschweig;;;
2850;H für Musik Weimar;;;
2860;Kunstakademie Düsseldorf;;;
2870;Robert-Schumann-H Düsseldorf;;;
2880;KH für Medien Köln;;;
2890;Kunstakademie Münster;;;
2900;H für Bildende Künste (Städelschule) Frankfurt a.M.;;;
2920;H für Gestaltung Offenbach;;;
2930;H für Kirchenmusik der Evangelisch-Lutherischen Landeskirche Sachsens, Dresden;;;
2940;Staatl. H für Gestaltung Karlsruhe;;;
2950;Staatl. Akademie der Bildenden Künste Karlsruhe;;;
2960;Staatl. Akademie der Bildenden Künste Stuttgart;;;
2980;Akademie der Bildenden Künste München;;;
2990;Akademie der Bildenden Künste Nürnberg;;;
3000;Evang. H für Kirchenmusik Halle;;;
3011;Hochschule für Musik Nürnberg;;;
3020;Hochschule für evang. Kirchenmusik Bayreuth;;;
3030;H für Musik und Theater Rostock;;;
3040;Hochschule für kath. Kirchenmusik und Musikpädagogik Regensburg;;;
3051;H Ruhr-West in Bottrop (FH);;;
3052;H Ruhr-West in Mülheim (FH);;;
3061;H Rhein-Waal in Kleve (FH);;;
3062;H Rhein-Waal in Kamp-Lintfort (FH);;;
3071;H Hamm-Lippstadt in Hamm (FH);;;
3072;H Hamm-Lippstadt in Lippstadt (FH);;;
3080;Hochschule der bildenden Künste (HBK) Essen (Priv. Kunst-H);;;
3090;HSD Hochschule Döpfer (Priv. FH), Köln;;;
3100;EUF Europa-Universität Flensburg;;;
3121;Hochschule für Kommunikation und Gestaltung in Stuttgart, FB Gestaltung (Priv. FH);;;
3122;Hochschule für Kommunikation und Gestaltung in Ulm, FB Kommunikation (Priv. FH);;;
3130;Barenboim-Said Akademie Berlin (Priv. KH);;;
3140;CODE University of Applied Sciences Berlin (Priv. FH);;;
3230;Cusanus Hochschule für Gesellschaftsgestaltung Bernkastel-Kues (Priv. FH);;;
3241;Duale Hochschule Gera-Eisenach in Eisenach (FH);;;
3242;Duale Hochschule Gera-Eisenach in Gera (FH);;;
3250;Fachhochschule Clara Hoffbauer Potsdam (Priv. FH);;;
3260;DHSH - Duale Hochschule Schleswig-Holstein in Kiel (Priv. FH);;;
3270;German International University Berlin (Priv. U);;;
3290;HMU Health and Medical University Potsdam (Priv. U);;;
3360;Digital Business University of Applied Sciences Berlin (Priv. FH);;;
3370;Technische Universität Nürnberg;;;
3430;Berufliche Hochschule Hamburg (FH);;;
3490;XU Exponential University of Applied Sciences Potsdam (Priv. FH);;;
3500;U Potsdam;;;
3640;GISMA Business School Potsdam (Priv. FH);;;
3660;PH Freiburg i.Br.;;;
3670;PH Heidelberg;;;
3680;PH Karlsruhe;;;
3700;PH Schwäbisch Gmünd;;;
3711;PH Ludwigsburg in Ludwigsburg;;;
3780;PH Weingarten;;;
3971;Brandenburgische TU Cottbus-Senftenberg in Cottbus;;;
3972;Brandenburgische TU Cottbus-Senftenberg in Senftenberg;;;
3980;Promotionszentrum Soziale Arbeit in Wiesbaden;;;
3990;Promotionszentrum Angewandte Informatik in Darmstadt;;;
4960;media Akademie - Hochschule Stuttgart (Priv. FH);;;
4981;Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Wilhelmshaven (FH);;;
4982;Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Oldenburg (FH);;;
4983;Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Elsfleth (FH);;;
4991;Hochschule Emden/Leer in Emden (FH);;;
4992;Hochschule Emden/Leer in Leer (FH);;;
5010;Hochschule Flensburg (FH);;;
5020;FH Kiel;;;
5030;Technische Hochschule Lübeck (FH);;;
5050;Priv. FH Wedel;;;
5061;FH für Verwaltung und Dienstleistung in Altenholz;;;
5062;FH für Verwaltung und Dienstleistung in Reinfeld;;;
5080;Muthesius Kunsthochschule Kiel;;;
5090;FH Westküste;;;
5100;Hochschule für Telekommunikation Leipzig (Priv. FH);;;
5110;Evangelische Hochschule Dresden in Dresden (Kirchl. FH);;;
5111;Evangelische Hochschule Dresden in Moritzburg (Kirchl. FH);;;
5120;H für Technik und Wirtschaft Dresden, Hochschule für angewandte Wissenschaften (FH);;;
5130;H für Technik, Wirtschaft und Kultur Leipzig, Hochschule für angewandte Wissenschaften (FH);;;
5140;H Mittweida (University of Applied Sciences), Hochschule für angewandte Wissenschaften (FH);;;
5151;H Zittau/Görlitz, Hochschule für angewandte Wissenschaften in Zittau (FH);;;
5152;H Zittau/Görlitz, Hochschule für angewandte Wissenschaften in Görlitz (FH);;;
5161;Westsächsische H Zwickau, Hochschule für angewandte Wissenschaften in Zwickau (FH);;;
5162;Westsächsische H Zwickau, Hochschule für angewandte Wissenschaften in Schneeberg (FH);;;
5163;Westsächsische H Zwickau, Hochschule für angewandte Wissenschaften in Reichenbach (FH);;;
5170;(Evangelische Hochschule Moritzburg (FH)) Zusammenlegung mit Evangelische HS Dresden;;;
5190;H der Sächsischen Polizei (FH) in Rothenburg/OL (Verw-FH);;;
5191;H der Sächsischen Polizei (FH) in Bautzen (Verw-FH);;;
5210;Hochschule für Angewandte Wissenschaften Hamburg;;;
5220;HFH Hamburger Fern-Hochschule;;;
5230;Evangelische Hochschule für Soziale Arbeit Hamburg (FH);;;
5240;Akademie der Polizei Hamburg (VerwFH);;;
5251;FH Südwestfalen in Hagen;;;
5252;FH Südwestfalen in Iserlohn;;;
5253;FH Südwestfalen in Meschede;;;
5254;FH Südwestfalen in Soest;;;
5260;Europäische Fernhochschule Hamburg;;;
5270;Mediadesign Hochschule Berlin in Berlin (Priv. FH);;;
5271;Mediadesign Hochschule Berlin in München (Priv. FH);;;
5272;Mediadesign Hochschule Berlin in Düsseldorf (Priv. FH);;;
5280;NORDAKADEMIE;;;
5312;Hochschule Braunschweig-Wolfenbüttel in Wolfenbüttel (FH);;;
5313;Hochschule Braunschweig-Wolfenbüttel in Wolfsburg (FH);;;
5314;Hochschule Braunschweig-Wolfenbüttel in Salzgitter (FH);;;
5315;Hochschule Braunschweig-Wolfenbüttel in Suderburg (FH);;;
5330;Hochschule Hannover;;;
5381;Hochschule Hildesheim/Holzminden/Göttingen in Göttingen (FH);;;
5385;Hochschule Hildesheim/Holzminden/Göttingen in Holzminden (FH);;;
5391;Fachhochschule für die Wirtschaft Hannover (FHDW) (Priv. FH);;;
5400;Priv. FH Göttingen;;;
5411;Priv. H für Wirtschaft und Technik Vechta/Diepholz in Diepholz (Priv. FH);;;
5412;Priv. H für Wirtschaft und Technik Vechta/Diepholz in Vechta (Priv. FH);;;
5430;FH Ottersberg (Priv.);;;
5501;Hochschule Osnabrück in Osnabrück (FH);;;
5503;Hochschule Osnabrück in Lingen (FH);;;
5660;H Bremerhaven;;;
5670;H für öffentliche Verwaltung Bremen;;;
5680;H Bremen;;;
5690;International School of Management Dortmund in Dortmund (Priv. FH);;;
5691;International School of Management Dortmund in München (Priv. FH);;;
5692;International School of Management Dortmund in Stuttgart (Priv. FH);;;
5693;International School of Management Dortmund in Köln (Priv. FH);;;
5694;International School of Management Dortmund in Hamburg (Priv. FH)  ;;;
5695;International School of Management Dortmund in Frankfurt (Priv. FH)  ;;;
5696;International School of Management Dortmund in Berlin (Priv. FH);;;
5701;Westfälische Hochschule Gelsenkirchen in Gelsenkirchen (FH);;;
5702;Westfälische Hochschule Gelsenkirchen in Bocholt (FH);;;
5703;Westfälische Hochschule Gelsenkirchen in Recklinghausen (FH);;;
5711;FH Aachen in Aachen;;;
5712;FH Aachen in Jülich;;;
5720;IU Internationale Hochschule Erfurt in Bad Honnef (Priv. FH);;;
5721;IU Internationale Hochschule Erfurt in Erfurt (Priv. FH);;;
5722;IU Internationale Hochschule Erfurt in Berlin (Priv. FH);;;
5723;IU Internationale Hochschule Erfurt in Bad Reichenhall (Priv. FH);;;
5724;IU Internationale Hochschule Erfurt in München (Priv. FH);;;
5725;IU Internationale Hochschule Erfurt in Nürnberg (Priv. FH);;;
5726;IU Internationale Hochschule Erfurt in Dortmund (Priv. FH);;;
5727;IU Internationale Hochschule Erfurt in Düsseldorf (Priv. FH);;;
5728;IU Internationale Hochschule Erfurt in Mannheim (Priv. FH) ;;;
