id;bezeichnung;Inaktiv
187;Asiatische Sprachen und Kulturen/Asienwissenschaften;0
188;Allgemeine Literaturwissenschaft;0
189;Niederdeutsch;0
190;Sonderpädagogik;0
191;Komposition;0
192;Dirigieren;0
193;Kirchenmusik;0
194;Tonmeister;0
195;Gesundheitspädagogik;0
196;Studienkolleg;0
197;Holzbau;0
199;Lernbereich Technik;0
200;Computer- und Kommunikationstechniken;0
201;Werken (technisch)/Technologie;0
202;Fertigungs-/Produktionstechnik;0
203;Industriedesign/Produktgestaltung;0
204;Malerei;0
205;Bildhauerei/Plastik;0
206;Polnisch;0
207;Sorabistik;0
208;Soziale Arbeit;0
209;Tschechisch;0
210;Verkehrswirtschaft;0
211;Energieverfahrenstechnik;0
212;Feinwerktechnik;0
213;Versorgungstechnik;0
215;Gesundheitstechnik;0
216;Glastechnik/Keramik;0
219;Kunststofftechnik;0
220;Milch- und Molkereiwirtschaft;0
221;Bioinformatik;0
222;Kommunikations- und Informationstechnik;0
223;Nautik/Seefahrt;0
224;Physikalische Technik/Mechanische Verfahrenstechnik;0
225;Textil- und Bekleidungstechnik/-gewerbe;0
226;Verfahrenstechnik;0
227;Weinbau und Kellerwirtschaft;0
230;Gesang;0
231;Druck- und Reproduktionstechnik;0
232;Gesundheitswissenschaft/-management;0
233;Nichtärztliche Heilberufe/Therapien;0
234;Pflegewissenschaft/-management;0
235;Fahrzeugtechnik;0
237;Mathematische Statistik/Wahrscheinlichkeitsrechnung;1
241;Kerntechnik/Kernverfahrenstechnik;1
242;Innenarchitektur;0
245;Sozialpädagogik;0
247;Medizinische Informatik;0
252;Journalistik;1
253;Sozialwesen;0
254;Sachunterricht (einschl. Schulgarten);0
255;Archivwesen;0
256;Rechtspflege;0
257;Arbeits- und Berufsberatung;0
258;Arbeitsverwaltung;0
259;Auswärtige Angelegenheiten;0
260;Bundeswehrverwaltung;0
261;Innere Verwaltung;0
262;Bibliothekswesen;0
263;Polizei/Verfassungsschutz;0
264;Sozialversicherung;0
265;Bankwesen;0
266;Finanzverwaltung;0
268;Verkehrswesen;0
269;Zoll- und Steuerverwaltung;0
270;Berufs- und Wirtschaftspädagogik;0
271;Deutsch als Fremdsprache oder als Zweitsprache;0
272;Alte Geschichte;0
273;Mittlere und neuere Geschichte;0
274;Tourismuswirtschaft;0
275;Wissenschaftsgeschichte/Technikgeschichte;0
276;Wirtschaftsmathematik;0
277;Wirtschaftsinformatik;0
280;Kartographie;0
282;Biotechnologie;0
283;Landschaftsökologie/Biogeographie;0
284;Angewandte Sprachwissenschaft;0
286;Mikrosystemtechnik;0
287;Neue Medien;0
290;ohne Angabe/ungeklärt;0
292;Islamische Studien/Islamische Theologie;0
294;Materialwissenschaft;0
300;Biomedizin;0
302;Medienwissenschaft;0
303;Kommunikationswissenschaft/Publizistik;0
304;Medienwirtschaft/Medienmanagement;0
305;Medientechnik;0
310;Regenerative Energien;0
312;Statistik;0
316;Elektrische Energietechnik;0
320;Ernährungswissenschaft;0
321;Erwachsenenbildung und außerschulische Jugendbildung;0
333;Haushaltswissenschaft;0
353;Pflanzenproduktion;0
361;Schulpädagogik;0
365;Pädagogik der frühen Kindheit;0
370;Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt;0
371;Tierproduktion;0
380;Mechatronik;0
385;Geoökologie;0
390;Archäometrie (Ingenieurarchäologie);0
429;Stahlbau;0
457;Umwelttechnik einschl. Recycling;0
458;Umweltschutz;0
464;Facility Management;0
544;Evang. Religionspädagogik kirchliche Bildungsarbeit;0
545;Kath. Religionspädagogik kirchliche Bildungsarbeit;0
548;Ur- und Frühgeschichte;0
